apiId,svc,module,method,path,mode,impl,owner,priority,status
workers.trade-management.create,workers,trade-management,POST,/trades/create,fragment,jmx/fragments/steps/workers/trade-management/create-trade.jmx,trade-team,P0,done
workers.trade-management.detail,workers,trade-management,GET,/trades/{id},fragment,jmx/fragments/steps/workers/trade-management/trade-detail.jmx,trade-team,P0,done
workers.trade-management.risk-metrics,workers,trade-management,GET,/trades/{tradeId}/risk-metrics,fragment,jmx/fragments/steps/workers/trade-management/trade-risk-metrics.jmx,trade-team,P0,done
refdata.portfolios.list,refdata,portfolios,GET,/refdata/portfolios,fragment,jmx/fragments/steps/refdata/portfolios-list.jmx,refdata-team,P1,done
refdata.counterparties.list,refdata,counterparties,GET,/refdata/counterparties,fragment,jmx/fragments/steps/refdata/counterparties-list.jmx,refdata-team,P1,done
workers.trade-management.list,workers,trade-management,GET,/trades,fragment,,trade-team,P0,todo
workers.trade-management.trigger-event,workers,trade-management,POST,/trades/trigger-event,fragment,,trade-team,P0,todo
workers.trade-management.calculate-risk,workers,trade-management,POST,/trades/{id}/calculate-risk,fragment,,trade-team,P0,todo
workers.trade-management.calc-partial-novation-risk,workers,trade-management,POST,/trades/{id}/calculate-partial-novation-risk,fragment,,trade-team,P0,todo
workers.trade-management.calc-risk-for-new,workers,trade-management,POST,/trades/calculate-risk-for-new,fragment,,trade-team,P0,todo
workers.trade-management.update,workers,trade-management,POST,/trades/{id}/update,fragment,,trade-team,P1,todo
workers.trade-management.single-risk-metric,workers,trade-management,GET,/trades/{tradeId}/risk-metrics/{metricType},datadriven,,trade-team,P1,todo
workers.trade-management.dat-to-json,workers,trade-management,POST,/trades/dat-to-json,fragment,,trade-team,P1,todo
workers.trade-management.target-gain,workers,trade-management,GET,/trades/{id}/target-gain,datadriven,,trade-team,P1,todo
workers.trade-management.generate-schedule,workers,trade-management,POST,/trades/generate-schedule,fragment,,trade-team,P1,todo
workers.trade-management.sync-cashflows-batch,workers,trade-management,POST,/trades/sync-cashflows-batch,fragment,,trade-team,P1,todo
workers.checker-flow.bulk-approve,workers,checker-flow,POST,/checker/tasks/bulk-approve,fragment,,checker-team,P0,todo
workers.checker-flow.bulk-reject,workers,checker-flow,POST,/checker/tasks/bulk-reject,fragment,,checker-team,P0,todo
workers.checker-flow.pending,workers,checker-flow,GET,/checker/tasks/pending,datadriven,,checker-team,P1,todo
workers.checker-flow.approve,workers,checker-flow,POST,/checker/tasks/{taskId}/approve,fragment,,checker-team,P1,todo
workers.checker-flow.reject,workers,checker-flow,POST,/checker/tasks/{taskId}/reject,fragment,,checker-team,P1,todo
workers.product-management.list,workers,product-management,GET,/products,datadriven,,product-team,P1,todo
workers.product-management.schema-parse,workers,product-management,POST,/products/schema/parse,fragment,,product-team,P1,todo
workers.product-management.live-fields,workers,product-management,GET,/product-field-configs/{productId}/live-fields,datadriven,,product-team,P1,todo
notifications.inbox.unread-count,notifications,inbox,GET,/notifications/unread-count,datadriven,,notifications-team,P0,todo
notifications.inbox.list,notifications,inbox,GET,/notifications/inbox,datadriven,,notifications-team,P1,todo
uc.entitlements.check-maker,uc,entitlements,GET,/uc/entitlements/check/maker,datadriven,,uc-team,P1,todo
uc.entitlements.check-checker,uc,entitlements,GET,/uc/entitlements/check/checker,datadriven,,uc-team,P1,todo
uc.entitlements.qualified-checkers,uc,entitlements,GET,/uc/entitlements/checkers,datadriven,,uc-team,P1,todo
refdata.counterparties.search,refdata,counterparties,GET,/refdata/counterparties/search,datadriven,,refdata-team,P1,todo
refdata.portfolios.search,refdata,portfolios,GET,/refdata/portfolios/search,datadriven,,refdata-team,P1,todo
ops.trade-aging.process-all,ops,trade-aging,POST,/trade-aging/process-all,fragment,,ops-team,P1,todo
ops.trade-aging.process-all-from-file,ops,trade-aging,POST,/trade-aging/process-all-from-file,fragment,,ops-team,P1,todo
